St,Wat_Sup,For_Area,Non_For,Res_Ar,AR_OP,Pop_Es,Pop_Den,Cl_Ws,Sch_Ws,Mean_Temp,Rain
Johor,1680,4477,1468,3327,3701,3749,196,3098,4218,27,2577
Kedah,1446,3424,6000,3419,3688,2163,228,1466,4043,27,2452
Kelantan,491,8104,7000,6132,2172,1861,124,1226,2453,25,3057
Kuala Lumpur,4856,2049,2712,68,0,1790,7366,4808,1184,26,2614
Labuan,74,0,0,0,0,99,1076,0,0,28,2640
Melaka,528,5448,1658,5199,33,922.,536,1187,5758,27,2126
Negeri Sembilan,780,1579,5077,1555,2643,1122,169,1243,1409,27,2228
Pahang,1158,2056,1539,1559,3254,1664,46,1316,3702,26,3038
Perak,1333,1013,1090,9889,3351,2503,119,2345,4869,26,2979
Perlis,234,1153,6796,1061,196,253.,310,251,2536,28,2155
Pulau Pinang,1073,7752,9535,5101,    ,1762,1681,2345,9888,28,2596
Putrajaya,4856,0,0,0,0,103.,1983,0,0,0,0
Sabah,1304,4767,2594,3540,6087,3898,53,1849,1726,26,3049
Sarawak,1513,7747,4697,4209,1160,2791,22,3349,1265,26,4058
Selangor,4856,2514,5415,2502,263,6475,814,6035,3029,27,2693
Terranganu,627,6512,6461,5403,8299,1228,95,818,3822,26,3068
